Model,TrainCount,Raw_HighTest_MAPE_Mean,Raw_HighTest_MAPE_Median,Raw_HighTest_DisasterRate_ge_100,Raw_LowHoldout_MAPE_Mean
BaseGEP,5,9.57071087284529,7.86282804102625,0,4.64167346412954
BaseGEP,8,5.81714488448709,5.64001156479108,0,2.32418315714794
BaseGEP,11,5.09771616966565,5.20608124566232,0,2.19691438924564
BaseGEP,14,4.66344742238988,5.26220062319882,0,1.81426315089698
BaseGEP,17,4.14795564127783,4.71556671625963,0,1.8246391101822
BaseGEP,20,3.17390929740528,3.47767911190147,0,1.0098376728737
BaseGEP,25,2.77353580573834,2.6298150992114,0,0.85888575878939
BaseGEP,30,2.84344912313173,2.37767661124051,0,0.876456993991664
Kriging,5,16.9157327702879,17.369096783824,0,7.02531753324512
Kriging,8,10.2959377673807,9.61641212870492,0,4.52160407941274
Kriging,11,6.29181875618154,6.07810203857044,0,2.36426826099199
Kriging,14,5.04373309725264,4.83957057407511,0,2.04955188295079
Kriging,17,5.0416450618052,4.9202723549661,0,1.6744564444997
Kriging,20,5.00704203390642,4.95143054479856,0,1.50517713754965
Kriging,25,4.91136661988675,4.98884945893084,0,1.28126371228847
Kriging,30,4.88418866573454,4.82901164802691,0,1.24086240830332
MLP,5,41.6618373489124,39.3102767346167,0,22.9079050067102
MLP,8,33.9711102477153,27.6758849169173,0,12.4585262438039
MLP,11,19.9505867923518,19.6407049150196,0,7.82602216273767
MLP,14,13.687383487213,13.9462633386392,0,6.15841671230117
MLP,17,9.08059084242019,7.77681436001258,0,3.52232602097086
MLP,20,5.01372518263486,3.89253936742069,0,2.75706719828761
MLP,25,3.54655730338532,2.73617181077748,0,1.67183499726377
MLP,30,2.28742196625267,0.856047184749905,0,2.30586223013637
RD_GEP,5,60.5367560058862,26.2721618134771,5,9054850235.68588
RD_GEP,8,8.87423665972334,3.33079009614461,0,4.76495044730383
RD_GEP,11,4.21455484168215,2.55374276724965,0,2.83924798087721
RD_GEP,14,9567103699.38891,1.65277654333761,5,0.789182855900068
RD_GEP,17,1.32271954912159,1.01730231457718,0,0.938616981559952
RD_GEP,20,0.998818280949417,0.862365470424555,0,0.654953515092794
RD_GEP,25,0.825379908994089,0.712705956404989,0,0.597825401961978
RD_GEP,30,0.778937799038881,0.743225423307944,0,0.40438701690813
SVR_RBF,5,14.7172274779938,14.715724311996,0,7.23130652565578
SVR_RBF,8,13.0968644400366,13.2335516359308,0,5.45397029377897
SVR_RBF,11,10.6066339569952,10.3391482286332,0,5.78359867735361
SVR_RBF,14,10.6497231544676,10.4755497084011,0,4.39066128061731
SVR_RBF,17,9.16705534499298,9.16455720580337,0,3.85291511828181
SVR_RBF,20,9.16869730960977,8.93444127051822,0,3.0963576767152
SVR_RBF,25,8.09762868332517,7.95196143252364,0,2.27302356315244
SVR_RBF,30,8.3868967686886,8.605241900839,0,1.81022101397878
